Wind speed,Linear,Nonlinear,IMF1+IMF2,Linear_Subseries,Nonlinear(t-1),Nonlinear(t-2),Nonlinear(t-3),Nonlinear(t-4),Linear_Pred,Nonlinear_Pred,y(t-1),y(t-2),y(t-3),y(t-4),Linear_Subseries_Pred
5.58,5.609,-0.031,0.025,5.553,0.132,-0.203,0.239,-0.176,5.685,-0.035,5.66,5.216,5.672,5.311,5.55
5.6,5.652,-0.048,0.038,5.566,-0.031,0.132,-0.203,0.239,5.526,-0.022,5.578,5.66,5.216,5.672,5.565
5.79,5.621,0.172,0.202,5.591,-0.048,-0.031,0.132,-0.203,5.771,0.075,5.604,5.578,5.66,5.216,5.59
5.31,5.511,-0.205,-0.322,5.628,0.172,-0.048,-0.031,0.132,5.472,-0.178,5.793,5.604,5.578,5.66,5.629
5.58,5.449,0.136,-0.09,5.674,-0.205,0.172,-0.048,-0.031,5.41,0.109,5.306,5.793,5.604,5.578,5.672
5.52,5.519,0.004,-0.206,5.729,0.136,-0.205,0.172,-0.048,5.526,-0.009,5.585,5.306,5.793,5.604,5.727
5.72,5.74,-0.016,-0.068,5.792,0.004,0.136,-0.205,0.172,5.645,-0.059,5.523,5.585,5.306,5.793,5.789
5.93,6.028,-0.094,0.071,5.863,-0.016,0.004,0.136,-0.205,5.978,-0.035,5.724,5.523,5.585,5.306,5.861
6.55,6.296,0.252,0.605,5.942,-0.094,-0.016,0.004,0.136,6.249,0.146,5.934,5.724,5.523,5.585,5.94
6.2,6.42,-0.22,0.17,6.03,0.252,-0.094,-0.016,0.004,6.468,-0.201,6.547,5.934,5.724,5.523,6.028
6.51,6.459,0.046,0.378,6.127,-0.22,0.252,-0.094,-0.016,6.364,0.041,6.2,6.547,5.934,5.724,6.124
6.63,6.481,0.153,0.397,6.237,0.046,-0.22,0.252,-0.094,6.562,0.089,6.505,6.2,6.547,5.934,6.234
6.38,6.492,-0.113,0.019,6.36,0.153,0.046,-0.22,0.252,6.469,-0.152,6.634,6.505,6.2,6.547,6.357
6.45,6.474,-0.027,-0.052,6.499,-0.113,0.153,0.046,-0.22,6.486,-0.039,6.379,6.634,6.505,6.2,6.496
6.42,6.362,0.053,-0.234,6.649,-0.027,-0.113,0.153,0.046,6.437,0.081,6.447,6.379,6.634,6.505,6.649
6.44,6.277,0.16,-0.371,6.809,0.053,-0.027,-0.113,0.153,6.187,0.048,6.415,6.447,6.379,6.634,6.806
6.22,6.454,-0.234,-0.753,6.973,0.16,0.053,-0.027,-0.113,6.347,-0.256,6.438,6.415,6.447,6.379,6.972
6.9,6.895,0.003,-0.234,7.132,-0.234,0.16,0.053,-0.027,6.849,0.071,6.22,6.438,6.415,6.447,7.134
7.61,7.298,0.312,0.332,7.277,0.003,-0.234,0.16,0.053,7.277,0.226,6.898,6.22,6.438,6.415,7.279
7.29,7.554,-0.265,-0.11,7.399,0.312,0.003,-0.234,0.16,7.403,-0.286,7.61,6.898,6.22,6.438,7.402
7.94,7.905,0.038,0.458,7.485,-0.265,0.312,0.003,-0.234,7.777,-0.018,7.288,7.61,6.898,6.22,7.49
8.38,8.269,0.107,0.848,7.528,0.038,-0.265,0.312,0.003,8.409,0.087,7.943,7.288,7.61,6.898,7.536
8.24,8.279,-0.042,0.716,7.521,0.107,0.038,-0.265,0.312,8.323,-0.041,8.376,7.943,7.288,7.61,7.526
7.88,7.806,0.074,0.405,7.475,-0.042,0.107,0.038,-0.265,7.93,-0.052,8.237,8.376,7.943,7.288,7.469
7.1,7.196,-0.095,-0.306,7.408,0.074,-0.042,0.107,0.038,7.261,-0.146,7.88,8.237,8.376,7.943,7.413
6.96,6.926,0.03,-0.38,7.335,-0.095,0.074,-0.042,0.107,6.893,0.052,7.101,7.88,8.237,8.376,7.335
7.1,6.985,0.114,-0.175,7.273,0.03,-0.095,0.074,-0.042,7.05,0.069,6.955,7.101,7.88,8.237,7.274
6.95,7.09,-0.136,-0.282,7.235,0.114,0.03,-0.095,0.074,7.027,-0.135,7.098,6.955,7.101,7.88,7.234
7.25,7.17,0.08,0.028,7.222,-0.136,0.114,0.03,-0.095,7.08,0.041,6.954,7.098,6.955,7.101,7.227
7.29,7.29,0.004,0.066,7.229,0.08,-0.136,0.114,0.03,7.307,-0.002,7.25,6.954,7.098,6.955,7.226
7.38,7.41,-0.034,0.123,7.253,0.004,0.08,-0.136,0.114,7.421,-0.019,7.295,7.25,6.954,7.098,7.252
7.45,7.399,0.05,0.159,7.289,-0.034,0.004,0.08,-0.136,7.422,0.026,7.376,7.295,7.25,6.954,7.29
7.24,7.286,-0.047,-0.079,7.318,0.05,-0.034,0.004,0.08,7.274,-0.031,7.449,7.376,7.295,7.25,7.33
7.33,7.247,0.082,0.01,7.319,-0.047,0.05,-0.034,0.004,7.229,0.042,7.239,7.449,7.376,7.295,7.326
7.14,7.307,-0.167,-0.142,7.281,0.082,-0.047,0.05,-0.034,7.339,-0.07,7.329,7.239,7.449,7.376,7.283
7.47,7.303,0.171,0.248,7.226,-0.167,0.082,-0.047,0.05,7.338,0.174,7.14,7.329,7.239,7.449,7.204
7.03,7.095,-0.062,-0.145,7.178,0.171,-0.167,0.082,-0.047,7.167,-0.037,7.474,7.14,7.329,7.239,7.183
6.89,6.903,-0.016,-0.258,7.144,-0.062,0.171,-0.167,0.082,6.8,-0.028,7.033,7.474,7.14,7.329,7.154
6.89,6.94,-0.052,-0.229,7.117,-0.016,-0.062,0.171,-0.167,6.981,0.026,6.886,7.033,7.474,7.14,7.123
7.22,7.106,0.11,0.147,7.069,-0.052,-0.016,-0.062,0.171,7.096,0.136,6.888,6.886,7.033,7.474,7.093
7.07,7.142,-0.073,0.095,6.974,0.11,-0.052,-0.016,-0.062,7.169,-0.03,7.216,6.888,6.886,7.033,6.975
6.94,6.92,0.018,0.118,6.82,-0.073,0.11,-0.052,-0.016,6.994,0.007,7.069,7.216,6.888,6.886,6.825
6.54,6.543,-0.007,-0.084,6.62,0.018,-0.073,0.11,-0.052,6.628,0.018,6.938,7.069,7.216,6.888,6.611
6.18,6.152,0.029,-0.214,6.395,-0.007,0.018,-0.073,0.11,6.236,0.039,6.537,6.938,7.069,7.216,6.404
5.82,5.783,0.033,-0.346,6.163,0.029,-0.007,0.018,-0.073,5.878,-0.011,6.181,6.537,6.938,7.069,6.168
5.45,5.555,-0.105,-0.495,5.945,0.033,0.029,-0.007,0.018,5.481,-0.08,5.817,6.181,6.537,6.938,5.947
5.82,5.688,0.131,0.055,5.763,-0.105,0.033,0.029,-0.007,5.56,0.1,5.45,5.817,6.181,6.537,5.755
6.13,6.115,0.015,0.492,5.638,0.131,-0.105,0.033,0.029,6.098,-0.051,5.818,5.45,5.817,6.181,5.628
6.35,6.443,-0.096,0.762,5.585,0.015,0.131,-0.105,0.033,6.45,-0.126,6.13,5.818,5.45,5.817,5.579
6.35,6.326,0.021,0.738,5.609,-0.096,0.015,0.131,-0.105,6.418,0.044,6.347,6.13,5.818,5.45,5.602
6.19,5.844,0.35,0.502,5.692,0.021,-0.096,0.015,0.131,5.932,0.09,6.347,6.347,6.13,5.818,5.706
4.98,5.486,-0.509,-0.83,5.807,0.35,0.021,-0.096,0.015,5.426,-0.47,6.194,6.347,6.347,6.13,5.801
5.96,5.671,0.288,0.031,5.928,-0.509,0.35,0.021,-0.096,5.549,0.236,4.977,6.194,6.347,6.347,5.929
6.21,6.075,0.137,0.178,6.033,0.288,-0.509,0.35,0.021,6.202,0.06,5.959,4.977,6.194,6.347,6.03
6.11,6.33,-0.219,0.005,6.106,0.137,0.288,-0.509,0.35,6.114,-0.269,6.211,5.959,4.977,6.194,6.108
6.46,6.432,0.025,0.327,6.129,-0.219,0.137,0.288,-0.509,6.45,-0.001,6.111,6.211,5.959,4.977,6.14
6.67,6.452,0.214,0.578,6.089,0.025,-0.219,0.137,0.288,6.534,0.12,6.456,6.111,6.211,5.959,6.097
6.16,6.337,-0.174,0.177,5.986,0.214,0.025,-0.219,0.137,6.393,-0.178,6.667,6.456,6.111,6.211,5.987
6.01,6.008,0.005,0.183,5.83,-0.174,0.214,0.025,-0.219,6.097,-0.025,6.163,6.667,6.456,6.111,5.834
5.56,5.469,0.092,-0.072,5.633,0.005,-0.174,0.214,0.025,5.652,0.078,6.013,6.163,6.667,6.456,5.639
4.96,4.976,-0.015,-0.446,5.407,0.092,0.005,-0.174,0.214,4.928,-0.024,5.561,6.013,6.163,6.667,5.413
4.6,4.702,-0.098,-0.558,5.162,-0.015,0.092,0.005,-0.174,4.808,-0.063,4.961,5.561,6.013,6.163,5.169
4.55,4.494,0.06,-0.355,4.91,-0.098,-0.015,0.092,0.005,4.594,0.103,4.604,4.961,5.561,6.013,4.914
4.26,4.198,0.066,-0.397,4.661,0.06,-0.098,-0.015,0.092,4.199,0.076,4.555,4.604,4.961,5.561,4.663
3.89,3.986,-0.092,-0.528,4.422,0.066,0.06,-0.098,-0.015,3.914,-0.08,4.264,4.555,4.604,4.961,4.425
4.04,4.093,-0.055,-0.165,4.204,-0.092,0.066,0.06,-0.098,4.063,0.022,3.894,4.264,4.555,4.604,4.2
4.51,4.404,0.102,0.49,4.016,-0.055,-0.092,0.066,0.06,4.381,0.172,4.039,3.894,4.264,4.555,4.015
4.54,4.542,0.002,0.676,3.868,0.102,-0.055,-0.092,0.066,4.586,0.023,4.506,4.039,3.894,4.264,3.863
4.32,4.309,0.014,0.554,3.77,0.002,0.102,-0.055,-0.092,4.383,-0.07,4.543,4.506,4.039,3.894,3.763
3.63,3.834,-0.2,-0.097,3.732,0.014,0.002,0.102,-0.055,3.944,-0.092,4.324,4.543,4.506,4.039,3.722
3.71,3.415,0.291,-0.056,3.762,-0.2,0.014,0.002,0.102,3.447,0.273,3.634,4.324,4.543,4.506,3.749
3.25,3.343,-0.089,-0.615,3.869,0.291,-0.2,0.014,0.002,3.249,-0.116,3.706,3.634,4.324,4.543,3.855
3.78,3.859,-0.084,-0.283,4.059,-0.089,0.291,-0.2,0.014,3.583,-0.131,3.254,3.706,3.634,4.324,4.046
4.69,4.624,0.07,0.374,4.32,-0.084,-0.089,0.291,-0.2,4.683,0.066,3.775,3.254,3.706,3.634,4.317
5.0,5.04,-0.037,0.366,4.637,0.07,-0.084,-0.089,0.291,4.991,0.05,4.694,3.775,3.254,3.706,4.623
5.36,5.095,0.269,0.369,4.995,-0.037,0.07,-0.084,-0.089,4.955,0.072,5.003,4.694,3.775,3.254,4.986
5.02,5.309,-0.293,-0.363,5.379,0.269,-0.037,0.07,-0.084,5.203,-0.382,5.365,5.003,4.694,3.775,5.369
5.97,5.954,0.016,0.2,5.77,-0.293,0.269,-0.037,0.07,5.851,0.042,5.016,5.365,5.003,4.694,5.766
6.66,6.456,0.2,0.506,6.149,0.016,-0.293,0.269,-0.037,6.617,0.221,5.97,5.016,5.365,5.003,6.146
6.6,6.439,0.162,0.1,6.5,0.2,0.016,-0.293,0.269,6.299,-0.108,6.656,5.97,5.016,5.365,6.498
5.98,6.448,-0.466,-0.835,6.816,0.162,0.2,0.016,-0.293,6.248,-0.492,6.601,6.656,5.97,5.016,6.81
7.42,7.119,0.306,0.316,7.109,-0.466,0.162,0.2,0.016,6.961,0.269,5.981,6.601,6.656,5.97,7.092
8.19,8.027,0.159,0.79,7.396,0.306,-0.466,0.162,0.2,8.121,0.095,7.425,5.981,6.601,6.656,7.391
8.27,8.473,-0.198,0.579,7.696,0.159,0.306,-0.466,0.162,8.299,-0.319,8.186,7.425,5.981,6.601,7.685
8.45,8.453,-0.004,0.428,8.021,-0.198,0.159,0.306,-0.466,8.449,-0.103,8.275,8.186,7.425,5.981,8.016
8.58,8.373,0.203,0.21,8.366,-0.004,-0.198,0.159,0.306,8.443,0.101,8.449,8.275,8.186,7.425,8.371
8.28,8.428,-0.146,-0.437,8.719,0.203,-0.004,-0.198,0.159,8.42,-0.14,8.576,8.449,8.275,8.186,8.713
8.73,8.597,0.137,-0.33,9.065,-0.146,0.203,-0.004,-0.198,8.502,-0.027,8.282,8.576,8.449,8.275,9.063
8.76,8.895,-0.131,-0.626,9.39,0.137,-0.146,0.203,-0.004,8.802,-0.154,8.735,8.282,8.576,8.449,9.388
9.67,9.506,0.163,-0.005,9.675,-0.131,0.137,-0.146,0.203,9.236,0.079,8.764,8.735,8.282,8.576,9.682
10.14,10.255,-0.114,0.243,9.898,0.163,-0.131,0.137,-0.146,10.285,-0.11,9.669,8.764,8.735,8.282,9.909
10.77,10.708,0.065,0.733,10.039,-0.114,0.163,-0.131,0.137,10.672,0.014,10.141,9.669,8.764,8.735,10.053
10.65,10.576,0.071,0.565,10.082,0.065,-0.114,0.163,-0.131,10.715,-0.016,10.772,10.141,9.669,8.764,10.092
9.98,10.113,-0.13,-0.058,10.04,0.071,0.065,-0.114,0.163,10.124,-0.136,10.648,10.772,10.141,9.669,10.034
9.87,9.785,0.089,-0.057,9.932,-0.13,0.071,0.065,-0.114,9.848,0.073,9.983,10.648,10.772,10.141,9.945
9.79,9.745,0.041,0.009,9.777,0.089,-0.13,0.071,0.065,9.754,0.006,9.874,9.983,10.648,10.772,9.783
9.61,9.746,-0.132,0.02,9.594,0.041,0.089,-0.13,0.071,9.809,-0.084,9.785,9.874,9.983,10.648,9.605
9.62,9.514,0.104,0.216,9.403,-0.132,0.041,0.089,-0.13,9.581,0.107,9.614,9.785,9.874,9.983,9.407
9.1,9.091,0.008,-0.124,9.223,0.104,-0.132,0.041,0.089,9.153,0.009,9.619,9.614,9.785,9.874,9.223
8.68,8.79,-0.113,-0.395,9.073,0.008,0.104,-0.132,0.041,8.764,-0.047,9.099,9.619,9.614,9.785,9.071
8.77,8.716,0.059,-0.197,8.972,-0.113,0.008,0.104,-0.132,8.796,0.117,8.677,9.099,9.619,9.614,8.966
