seed,method,mse,rmse,mae,coverage,coverage_percent,mean_width,median_width,mean_interval_score,lower_miss_rate,upper_miss_rate,elapsed_seconds,selected_residual_window
2020,M1_DistPred_ANN,8.80318533983006,2.9670162351814087,2.2849648832462353,0.895,89.5,9.512778276628255,8.788673908529795,16.783339574643637,0.075,0.03,23.943585800006986,
2020,M2_DistPred_Minusformer,9.706114216683705,3.1154637241803513,2.3428043666124454,0.94,94.0,11.4271585373342,10.788594766184195,15.940349044192095,0.04,0.02,23.504473499953747,
2020,M3_Quantile_ANN,8.933640629463486,2.9889196425236135,2.322332424940691,0.935,93.5,11.234607447808978,10.136913247209158,14.801778122149017,0.04,0.025,23.12729820003733,
2020,M4_Quantile_Minusformer,13.408046416642817,3.66169993536374,2.874544402894911,0.86,86.0,10.959826798266171,9.13355380429659,21.589811573322457,0.09,0.05,25.22534269996686,
2020,M5_SortBootstrap_ANN,8.394978214491744,2.8974088794113513,2.2327877404128342,0.675,67.5,5.711380285708605,5.37234826062892,24.006891849069415,0.165,0.16,25.831360000011045,
2020,M6_OOT_Adaptive_EnbPI,10.056888086329122,3.171259700234139,2.5215406477299775,0.975,97.5,14.312756360469752,14.452367977751386,16.678478751730253,0.01,0.015,350.29167480004253,300.0
2021,M1_DistPred_ANN,7.7887954957063155,2.7908413598243658,2.14720695639746,0.945,94.5,12.148361811684413,11.409172841202698,15.222874704171637,0.04,0.015,14.900145999970846,
2021,M2_DistPred_Minusformer,8.922179135100228,2.9870016965345414,2.252553531161155,0.905,90.5,9.582229613112252,9.154327955085641,17.59859588798284,0.055,0.04,15.451081399980467,
2021,M3_Quantile_ANN,8.184335539509357,2.8608277717313495,2.1750424891603855,0.95,95.0,11.534600063608927,10.941267704857752,14.701426416308596,0.025,0.025,14.791798999998719,
2021,M4_Quantile_Minusformer,9.326853420906529,3.0539897545516634,2.3262773142267834,0.9,90.0,9.175890352772516,8.987538104497876,17.250612697044705,0.065,0.035,19.489147000014782,
2021,M5_SortBootstrap_ANN,6.959455141693814,2.638077925629532,2.0258673368981284,0.71,71.0,5.44954302512106,5.24034737959494,21.834854114800628,0.15,0.14,17.4474699999555,
2021,M6_OOT_Adaptive_EnbPI,8.321512940445707,2.8847032673128976,2.2852610549685854,0.92,92.0,10.051981153463956,9.480930135194344,15.723300540131586,0.05,0.03,380.0644893000135,100.0
2022,M1_DistPred_ANN,22.91257050482077,4.78670768951069,3.7759612714638853,0.89,89.0,16.40383322531223,14.699416571086765,25.81354781900284,0.055,0.055,49.94241229997715,
2022,M2_DistPred_Minusformer,22.92253119273405,4.787748029369763,3.7438064710350636,0.83,83.0,14.748130907955167,12.807870729823897,31.08972753870146,0.08,0.09,51.91854929999681,
2022,M3_Quantile_ANN,24.65064832656827,4.964941925800167,3.880412789032739,0.85,85.0,15.321130280437467,13.506595254550767,30.114833935823142,0.05,0.1,49.80911339999875,
2022,M4_Quantile_Minusformer,22.92397265627239,4.787898563699151,3.7653536338256357,0.495,49.5,6.136061926762161,5.636087106590967,62.38631426857926,0.22,0.285,50.71344630001113,
2022,M5_SortBootstrap_ANN,20.33172415903888,4.5090713189124525,3.488400675438852,0.61,61.0,7.318664978890268,6.679364547555029,48.303565777788464,0.18,0.21,54.057356699951924,
2022,M6_OOT_Adaptive_EnbPI,23.469688925283744,4.8445525000028375,3.6820560530687625,0.885,88.5,15.489673360015667,13.78996432079777,27.31642345846879,0.045,0.07,662.7637930999626,100.0
2023,M1_DistPred_ANN,16.525382020427674,4.06514231244463,3.0257619140005856,0.88,88.0,13.626671823897322,13.130289702514766,22.628597241948444,0.07,0.05,14.890446299978066,
2023,M2_DistPred_Minusformer,18.080077097461608,4.252067390983075,3.128286133492027,0.91,91.0,15.388482266106566,13.98028440355602,23.59523585925912,0.05,0.04,15.601273099950049,
2023,M3_Quantile_ANN,16.36350284375711,4.045182671247012,3.011492509907996,0.885,88.5,13.499932982363662,12.984952965629887,23.17473656334545,0.065,0.05,14.81817719998071,
2023,M4_Quantile_Minusformer,21.72872604653277,4.66140816133202,3.5041106861930142,0.66,66.0,7.398788125199189,7.192157198745378,41.37258685398028,0.22,0.12,15.384887999971397,
2023,M5_SortBootstrap_ANN,15.136039884113398,3.8905063788809544,3.003008311483414,0.67,67.0,7.306881524856126,7.14879954464662,34.44704233987399,0.165,0.165,18.169824299926404,
