seed,condition,window,window_value,mean_interval_score,coverage,mean_width,n_validation_residuals,validation_start_position,selected
2020,AR1_plus_sine_heteroskedastic,200,200.0,61.66201960339478,0.9769230769230769,53.04689547671114,130,195,True
2020,AR1_plus_sine_heteroskedastic,400,400.0,63.82839622717779,0.9692307692307692,50.0903506731787,130,195,False
2020,AR1_plus_sine_heteroskedastic,all,,63.82839622717779,0.9692307692307692,50.0903506731787,130,195,False
2020,AR1_plus_sine_heteroskedastic,300,300.0,63.962621003008095,0.9692307692307692,50.224575449009,130,195,False
2020,AR1_plus_sine_heteroskedastic,100,100.0,72.849217279375,0.9,41.73410886273788,130,195,False
2021,AR1_plus_sine_heteroskedastic,200,200.0,65.22782259973503,0.9538461538461539,46.855574664326205,130,195,True
2021,AR1_plus_sine_heteroskedastic,400,400.0,67.02828225617469,0.9461538461538461,44.2575129530769,130,195,False
2021,AR1_plus_sine_heteroskedastic,all,,67.02828225617469,0.9461538461538461,44.2575129530769,130,195,False
2021,AR1_plus_sine_heteroskedastic,300,300.0,67.1434837371214,0.9461538461538461,44.372714434023614,130,195,False
2021,AR1_plus_sine_heteroskedastic,100,100.0,74.08727786680204,0.9153846153846154,40.15268393606215,130,195,False
2022,AR1_plus_sine_heteroskedastic,400,400.0,54.44050902328121,0.9,37.6057547094862,130,195,True
2022,AR1_plus_sine_heteroskedastic,all,,54.44050902328121,0.9,37.6057547094862,130,195,False
2022,AR1_plus_sine_heteroskedastic,300,300.0,54.49508380750966,0.9,37.66032949371465,130,195,False
2022,AR1_plus_sine_heteroskedastic,200,200.0,55.5650286091479,0.9,39.18528832575726,130,195,False
2022,AR1_plus_sine_heteroskedastic,100,100.0,68.52148503715587,0.8615384615384616,38.63990408943119,130,195,False
