run,data_seed,final_mean_residual,low_mean_residual,high_mean_residual,final_fitted_residual_slope,final_fitted_residual_corr,low_branch_residual_slope,low_branch_residual_corr,high_branch_residual_slope,high_branch_residual_corr,final_residual_by_low_slope,final_residual_by_low_corr,final_residual_by_high_slope,final_residual_by_high_corr,opposite_branch_slope_signs,opposite_final_component_slope_signs,component_error_corr,low_error_mse,high_error_mse,component_error_cross_term,component_error_cross_term_share,combined_oob_mse,high_abs_error_by_abs_kf_low_corr,high_squared_error_by_abs_kf_low_corr,high_oob_mse_extreme_to_calm_low_state_ratio,true_innovation_squared_by_abs_true_low_corr,true_innovation_mse_extreme_to_calm_low_state_ratio,cov_low_fit_low_error,cov_low_fit_high_error,cov_high_fit_low_error,cov_high_fit_high_error,fitted_residual_cov_total,covariance_cancellation_fraction,residual_identity_max_abs_error
1,479243620,-0.030247706335760054,0.006228248259806297,-0.036475954595566365,0.02565838297309675,0.01504538419413034,0.0980625204508913,0.23452922928785802,-0.3298942293852897,-0.2046003099673638,0.1685489949135646,0.0957032875482531,-0.18163971913662075,-0.09092864686526128,True,True,0.7622241187280595,0.19262690334131963,2.227368747232608,0.997690859190814,0.2919199453607846,3.4176865097647418,-0.0334101982441635,-0.009203310736807194,0.9699101078658051,0.2837880749662899,3.1753874137232136,0.10802403056110299,0.07764672003625853,0.12694151421983715,-0.28246879599354985,0.030143468823648822,0.949345608844313,8.881784197001252e-16
2,454024514,0.04058609220913026,-0.00029953353377469344,0.04088562574290497,0.01250943983414524,0.007667925032657636,0.09555763096767099,0.23973884456842737,-0.3450814512688029,-0.21040280837058936,0.15027784845939524,0.08883750055982344,-0.1969691708918507,-0.0970483356300028,True,True,0.7653749350802558,0.2136523255511229,2.5145451013671667,1.1215890963807564,0.2913379974689139,3.849786523299046,-0.019455821260805514,-0.015430856755420478,0.8791897966393932,0.34348611714624944,3.206082483824831,0.12850466194019794,0.07358703830201825,0.1383634945551989,-0.32236810737241894,0.018087087424996096,0.9727120525699899,8.881784197001252e-16
3,1818751028,0.009912252377414815,-0.002751181779706092,0.012663434157120903,0.05531740540599047,0.03289991292407919,0.1288736295581656,0.2883554486595043,-0.25006602154831087,-0.15925646464116303,0.16655465540212436,0.0886994660643327,-0.10538958688432326,-0.05400136144270815,True,True,0.7728915770543968,0.20273429485407185,2.316701378587583,1.0592427559331175,0.2959871295611707,3.578678429374772,-0.09871386210111664,-0.08973091832170366,0.6529776713052059,0.24234646425815676,2.8157879389331875,0.13079865269044672,0.03824387835805641,0.13593226811091477,-0.23495216456972817,0.07002263458968977,0.8703109137094021,8.881784197001252e-16
4,2288458700,0.010264951548347992,-0.003408252244838932,0.013673203793186898,0.044720699444511035,0.03195001523763672,0.08322704622077848,0.23301941068715676,-0.27514426916533496,-0.18623237464850176,0.1280207609919958,0.08533239995919219,-0.1139769977669206,-0.062299037593017956,True,True,0.7572934313677228,0.23052633115226442,2.6525050530357155,1.184192036777266,0.2911549020575393,4.067223420965246,0.10396733166757256,0.08593992591551679,1.2068854991568465,0.3074497606040821,3.249211746661184,0.1503897964591698,0.08094144815885172,0.19583570717224447,-0.3343301159028862,0.09283683588737979,0.8780864171038558,8.881784197001252e-16
5,2115331525,-0.0274709713830328,0.0003917222878891805,-0.027862693670922017,0.02115140290219418,0.013485496997972168,0.12320211060721618,0.27565072414652264,-0.2633273960697064,-0.18297643828592505,0.15056474139601456,0.08142013061223215,-0.1124545067623637,-0.06312209267789733,True,True,0.7402051976738709,0.22366893147526343,2.4992864756397877,1.1066665951355625,0.2889754117991777,3.829622002250614,0.04324832279820407,0.04442034170200308,1.1914957318125605,0.2777969867044373,2.948017477216494,0.13794485042900223,0.030636926533981975,0.182008040804432,-0.31766942138389487,0.032920396383521344,0.9507370875630089,8.881784197001252e-16
6,2666256175,0.015011996001858095,-0.003170488409236702,0.0181824844110948,-0.0598920018422117,-0.02974620259444758,0.13062904013118054,0.2601701126289914,-0.3737982211358063,-0.22387223724244856,0.2129995123150171,0.09906712196904578,-0.2594505658105515,-0.12564907535692352,True,True,0.7721379617821982,0.2048838123317562,2.456753485512672,1.0954030065021247,0.29156008926357363,3.757040304346553,-0.0028964304378943004,-0.0001686203249640282,1.1104651846771703,0.27356982533858765,2.6196527732712425,0.10616012299172045,0.06694115986109062,0.10075263576878501,-0.32935660917568343,-0.05550269055408735,0.9079878616230981,8.881784197001252e-16
7,975381835,-0.030900638162288763,-0.0014484379967338987,-0.029452200165554873,0.11223727829454504,0.08287987792518534,0.07422909643755363,0.2152572384045078,-0.1832598573488291,-0.12217489140135883,0.11457379171547792,0.081674094628285,0.01050087925905356,0.005593852366461278,True,False,0.7664731552685898,0.24410315216956283,2.5800387173781063,1.2164165686513944,0.3010515965198042,4.040558438199063,-0.02491223831620149,-0.010377044560671206,0.9799410974125103,0.28185214357147004,3.5358181196525926,0.15237404948859432,0.0828177209465611,0.22211362334972795,-0.21007615703215038,0.247229236752733,0.6295533844918764,8.881784197001252e-16
8,2535166222,0.02409854497173678,-0.001931451959876221,0.02602999693161298,-0.07948909229210235,-0.04515663225191475,0.11058747910814844,0.2583372729030542,-0.42341415564331913,-0.24792778814914723,0.15494694879544677,0.08260645314758581,-0.30788011283524513,-0.1464819671650056,True,True,0.7757462584587386,0.21529912142010293,2.7297838594102037,1.1891607232236523,0.2876368226811556,4.134243704053958,-0.04447420994901867,-0.042874647137860926,0.8994886014539075,0.31577496949066197,4.17261356099213,0.12992804855228593,0.05211746734590558,0.10810607197217184,-0.39619180694691436,-0.10604021907655103,0.8454997602114585,1.3322676295501878e-15
9,1079577930,0.014785662909556664,0.0006176247501788948,0.014168038159377753,0.012714873836898462,0.008479581971321818,0.09497329126447054,0.2447813275445792,-0.28960192098843357,-0.18230618919509062,0.10193530744041372,0.062350834781683157,-0.1255502730531974,-0.06386129183804848,True,True,0.7582014977219922,0.23614117640919008,2.7375453202232274,1.2191892200324115,0.2907763793681442,4.192875716664828,-0.004175759001077677,-0.009964531496159517,1.0039422258972441,0.25978413463486866,3.2264089206422204,0.14897935989442587,0.01092093050222288,0.1779549275576304,-0.31414551160371484,0.023709706350564297,0.9636354603979698,8.881784197001252e-16
10,3715024065,-0.00868242497131841,-0.0013732989654839116,-0.007309126005834491,0.08953210695349884,0.057789775330210444,0.0986264072781305,0.249689670601649,-0.22707296272594374,-0.14576576787373632,0.1404433494850155,0.08615027871023187,-0.058712055517704385,-0.03021035679321491,True,True,0.7692091891903475,0.21819538185245682,2.387987935244299,1.110489399164932,0.2987858990936084,3.7166727162616877,0.051364007342929285,0.02465100071008992,1.0588536787107967,0.279521575372124,3.020290747035737,0.13792714298478542,0.05848019334913419,0.16567001295954106,-0.22344368001675555,0.13863366927670515,0.7632302473575969,8.881784197001252e-16
