run,data_seed,mse,rmse,coverage,coverage_percent,mean_width,median_width,low_kf_mse,low_kf_rmse,low_enbpi_coverage,low_enbpi_mean_width,low_mean_beta,high_kf_mse,high_kf_rmse,high_enbpi_coverage,high_enbpi_mean_width,high_mean_beta,mean_beta,mean_bias_correction,low_mean_bias_correction,high_mean_bias_correction,mean_oob_models_per_train_point,min_oob_models_per_train_point,ann_selected_max_iter_mean,ann_rolling_validation_mse,ann_nonconverged_models,elapsed_seconds,low_true_mse,low_true_rmse,low_true_coverage,high_true_mse,high_true_rmse,high_true_coverage
1,479243620,3.622470907668994,1.9032789883958143,0.93,93.0,7.0447220588292545,7.059261064523343,0.2393315614304118,0.4892152506110289,0.91,1.6898491620568514,0.027622500000000008,2.2539073491498853,1.501301884748662,0.94,5.74016410595446,0.030390000000000007,0.02832750000000001,0.03924133676540888,0.0,0.0,10.49763779527559,4.0,125.0,3.2325781427996523,30.0,90.9284939999925,3.1393738956608344,1.7718278402996253,0.41,4.960756713029507,2.2272756257431428,0.825
2,454024514,3.64647270552575,1.9095739591662193,0.95,95.0,7.461887937334823,7.456721634843649,0.22468256538892725,0.47400692546515316,0.935,1.7762819508881194,0.016917500000000002,2.3043096058476635,1.5179952588357,0.96,5.877559180766363,0.018647499999999997,0.022014999999999996,0.05697746447357945,0.0,0.0,10.49763779527559,4.0,125.0,2.88123819994271,30.0,92.7623115000315,3.414399649505857,1.847809419151731,0.365,3.843191539923282,1.9604059630401256,0.875
3,1818751028,2.6223884714406918,1.6193790388419542,0.97,97.0,7.289171391455518,7.279889197516333,0.13486583895947687,0.36724084598458934,0.97,1.6682979358342345,0.011727499999999997,1.7611875080367674,1.3270973996044026,0.965,5.843123339677395,0.03188500000000001,0.031862499999999995,0.011891765161806192,0.0,0.0,10.49763779527559,4.0,125.0,3.195864993980562,30.0,90.8226597000612,2.295662058836835,1.5151442369744323,0.475,3.0337606023471766,1.7417693883942205,0.87
4,2288458700,4.148170498933006,2.0367057958706276,0.93,93.0,7.876727410424022,7.813762739908543,0.2652761321257293,0.5150496404481119,0.915,1.9064068782914705,0.0212275,2.5884955136702334,1.608880204884824,0.93,6.306131311792581,0.025375000000000005,0.0176325,-0.0004547389283282785,0.0,0.0,10.49763779527559,4.0,125.0,2.6805280419835587,30.0,91.0179336000001,5.239966680186761,2.2890973505263514,0.365,7.663921559910669,2.7683788685638153,0.77
5,2115331525,3.6965754452139112,1.922648029467149,0.965,96.5,7.735265341581285,7.725104397550016,0.2305195525229319,0.480124517727362,0.945,1.834078668019377,0.03130249999999999,2.3437767606413917,1.5309398292034184,0.955,6.313745954857028,0.031332500000000006,0.02903000000000001,-0.038970884369669084,0.0,0.0,10.49763779527559,4.0,125.0,3.06922245111616,30.0,90.11853109998628,3.6042908692748004,1.8984970027036652,0.4,4.055139776321703,2.013737762550453,0.885
6,2666256175,4.146724637424763,2.036350813937707,0.9,90.0,7.296539096293696,7.296610777067714,0.2869567731882017,0.535683463612796,0.89,1.8430809383410283,0.02459,2.505634682361133,1.5829196702173907,0.93,5.818914416829382,0.0209825,0.01768,0.004361502907968377,0.0,0.0,10.49763779527559,4.0,125.0,2.786512629249266,30.0,91.76274169993121,3.6297673921478006,1.9051948436177861,0.36,5.858613149822092,2.4204572191679183,0.79
7,975381835,3.7432325725182793,1.9347435417952115,0.915,91.5,7.381921961259003,7.391429423791756,0.19892379647851346,0.4460087403611206,0.955,1.8546865030925084,0.028652500000000004,2.4584227878668785,1.5679358366549565,0.925,5.9053134120633395,0.020147500000000002,0.01875,0.024756551617999053,0.0,0.0,10.49763779527559,4.0,125.0,3.302390208123355,30.0,92.21901370002888,4.01809975740127,2.0045198321296973,0.355,5.157717966820842,2.2710609782260014,0.805
8,2535166222,3.9407880934351542,1.9851418320702312,0.945,94.5,7.714521940815477,7.705674188927974,0.22735573012957644,0.47681834080661833,0.93,1.8359918406139306,0.029022500000000003,2.5221768523403623,1.5881362826723537,0.955,6.249330311828303,0.026115000000000003,0.02514,0.0844045950656633,0.0,0.0,10.49763779527559,4.0,125.0,3.867031608880731,30.0,93.35334420006257,4.355859793891113,2.0870696667555477,0.34,5.726968085464605,2.393108456686534,0.83
9,1079577930,4.499179606663405,2.1211269661817522,0.93,93.0,7.97957580690369,7.8798748367377955,0.2832969582175927,0.5322564778540443,0.905,1.8216313614694852,0.018197500000000002,2.873130920841222,1.6950312447979305,0.93,6.556648982735733,0.0367775,0.030462500000000007,-0.050079004278441246,0.0,0.0,10.49763779527559,4.0,125.0,4.161780484439172,30.0,93.67048239998985,6.301073167362851,2.5101938505547436,0.285,9.283988630087693,3.046963838001313,0.71
10,3715024065,3.6913415623442405,1.9212864342268803,0.95,95.0,7.535526865969129,7.515290669819211,0.22951074740724084,0.4790727996946193,0.955,1.8107067901860279,0.030752500000000006,2.279421734547486,1.5097753920856858,0.955,5.870430993787497,0.032587500000000005,0.028287500000000004,-0.011814196035522206,0.0,0.0,10.49763779527559,4.0,125.0,2.9641153877391915,30.0,93.03070030000526,4.093398416057981,2.0232148714503806,0.365,6.306164203982705,2.5112077182070593,0.76
